method,dataset,log_size,elapsed_time,peak_memory,iteration_no
SLCT,BGL,1,0:00:00.479682,89.7578125,1
SLCT,BGL,1,0:00:00.486913,89.8203125,2
SLCT,BGL,1,0:00:00.481914,90.015625,3
SLCT,BGL,1,0:00:00.481994,89.7578125,4
SLCT,BGL,1,0:00:00.489335,90.20703125,5
SLCT,BGL,1,0:00:00.476169,89.82421875,6
SLCT,BGL,1,0:00:00.485387,90.13671875,7
SLCT,BGL,1,0:00:00.483676,89.82421875,8
SLCT,BGL,1,0:00:00.480179,90.1015625,9
SLCT,BGL,1,0:00:00.478041,89.87890625,10
SLCT,BGL,2,0:00:01.163777,92.07421875,1
SLCT,BGL,2,0:00:01.188401,91.7109375,2
SLCT,BGL,2,0:00:01.173417,91.82421875,3
SLCT,BGL,2,0:00:01.196276,91.6640625,4
SLCT,BGL,2,0:00:01.178728,92.0625,5
SLCT,BGL,2,0:00:01.185323,91.984375,6
SLCT,BGL,2,0:00:01.188978,92.05078125,7
SLCT,BGL,2,0:00:01.182019,92.0390625,8
SLCT,BGL,2,0:00:01.176822,92.09765625,9
SLCT,BGL,2,0:00:01.176426,91.703125,10
SLCT,BGL,4,0:00:00.893081,96.1328125,1
SLCT,BGL,4,0:00:00.909177,96.2890625,2
SLCT,BGL,4,0:00:00.892963,96.1015625,3
SLCT,BGL,4,0:00:00.915956,96.10546875,4
SLCT,BGL,4,0:00:00.892531,96.30078125,5
SLCT,BGL,4,0:00:00.892068,96.2421875,6
SLCT,BGL,4,0:00:00.890004,96.0234375,7
SLCT,BGL,4,0:00:00.895194,96.51953125,8
SLCT,BGL,4,0:00:00.918953,96.28515625,9
SLCT,BGL,4,0:00:00.911609,96.4609375,10
SLCT,BGL,20,0:02:21.480473,125.87890625,1
SLCT,BGL,20,0:02:20.760889,125.91015625,2
SLCT,BGL,20,0:02:21.119640,125.48046875,3
SLCT,BGL,20,0:02:22.325194,125.609375,4
SLCT,BGL,20,0:02:21.636499,125.37109375,5
SLCT,BGL,20,0:02:20.549540,125.87890625,6
SLCT,BGL,20,0:02:21.678066,125.5,7
SLCT,BGL,20,0:02:20.650459,125.578125,8
SLCT,BGL,20,0:02:20.891870,125.515625,9
SLCT,BGL,20,0:02:21.561216,125.40625,10
SLCT,BGL,50,0:17:19.483029,174.484375,1
SLCT,BGL,50,0:17:26.812810,174.16796875,2
SLCT,BGL,50,0:17:15.681758,174.125,3
SLCT,BGL,50,0:17:14.824603,174.34765625,4
SLCT,BGL,50,0:17:17.961215,174.46484375,5
SLCT,BGL,50,0:17:29.395039,174.05859375,6
SLCT,BGL,50,0:17:24.479184,174.1796875,7
SLCT,BGL,50,0:17:22.517317,174.2265625,8
SLCT,BGL,50,0:17:17.206720,174.53125,9
SLCT,BGL,50,0:17:15.096057,174.2265625,10
